planet,行星
ocean,海洋
metre,米
kilometre,千米
through,穿过
eastern,东方的
freshwater,淡水的
million,一百万
inland,内陆的
north-east,东北
large,大的
deep,深的
wide,宽的
everywhere,到处
ground,地面
into,进入
form,形成
cloud,云
ice,冰
drop,滴
full,充满的
useful,有用的
wash,洗
outside,在外面
cycle,循环
quick,快的
shower,淋浴
off,除去
tap,水龙头
while,当……时
brush,刷
tooth,牙
reuse,重复使用
matter,要紧
fact,事实
valuable,宝贵的
enough,足够的
once,一次
must,必须
collect,收集
dig,挖
worry,担心
story,故事
cover,覆盖
coastline,海岸线
than,比
thousand,一千
eighty,八十
sixty,六十
billion,十亿
per cent,百分之……
land,陆地
knock,敲
door,门
step,步骤
litter,乱扔
